Trader_ID,Region,Account_Type,Trade_ID,Instrument,Trade_Type,Trade_Date,Entry_Price,Exit_Price,Profit_Loss,Drawdown,Position_Size,Leverage,Trade_Duration_Minutes,Scalper_Flag,Risk_Score,Win_Flag,Cumulative_Profit,Trading_Session,Position_Exposure,Risk_per_Trade,Streak_ID
T0103,North,Institutional,TR00001,Stock,Short,2025-12-24,563.52,583.8321894803499,42554.04,54.73,419,5,42,No,3,Yes,42554.04,Afternoon,1180574.4,114659.35,1
T0436,South,Retail,TR00002,Crypto,Short,2025-10-15,286.4,281.32331099289087,-33963.05,17.18,223,30,237,No,4,No,-33963.05,Evening,1916016.0,114934.2,2
T0349,South,Retail,TR00003,Crypto,Long,2025-12-30,174.46,174.44474410101864,-3.84,5.71,252,1,62,No,1,No,-3.84,Morning,43963.92,1438.92,2
T0271,North,Retail,TR00004,Crypto,Long,2025-03-27,459.86,458.0448749256636,-435.63,25.91,80,3,76,No,2,No,-435.63,Morning,110366.4,6218.4,3
T0107,East,Retail,TR00005,Crypto,Short,2025-12-04,225.27,220.56294940321487,-11664.07,0.06,826,3,224,No,1,No,-11664.07,Afternoon,558219.06,148.68,4
T0072,West,Retail,TR00006,Forex,Long,2025-03-03,899.51,869.2623830501426,-61886.62,82.69,682,3,11,Yes,5,No,-61886.62,Afternoon,1840397.46,169183.74,4
T0189,North,Retail,TR00007,Stock,Short,2025-04-12,310.58,304.4335831878285,-12692.35,24.37,413,5,59,No,2,No,-12692.35,Afternoon,641347.7,50324.05,5
T0021,West,Retail,TR00008,Forex,Short,2025-05-24,601.43,614.0317694986884,16861.17,10.01,669,2,61,No,1,Yes,16861.17,Morning,804713.34,13393.38,6
T0103,West,Retail,TR00009,Stock,Short,2025-07-16,270.81,268.22217676912607,-1017.01,16.5,393,1,82,No,1,No,41537.03,Afternoon,106428.33,6484.5,7
T0122,North,Retail,TR00010,Stock,Long,2026-02-18,265.44,263.7661367704376,-27953.52,0.55,334,50,13,Yes,5,No,-27953.52,Afternoon,4432848.0,9185.0,8
